epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2569,1.24199,2.85034,1.17182,0.93289,0.13244,0.27321,0.19305,1.01838,3.45783,0.93865,0.000653061,0.000653061,0.000653061
2,149.121,1.36474,2.55845,1.25617,0.5207,0.45526,0.40487,0.23037,1.21864,3.17737,1.10038,0.00130666,0.00130666,0.00130666
3,239.975,1.40875,2.25665,1.26834,0.79763,0.6,0.73196,0.42273,1.3392,2.40418,1.22001,0.00194706,0.00194706,0.00194706
4,333.416,1.39005,2.26437,1.33182,0.77025,0.73438,0.79345,0.5369,1.18315,2.23352,1.23422,0.0019406,0.0019406,0.0019406
5,450.368,1.32383,2.14743,1.26448,0.62896,0.54286,0.57981,0.35859,1.30603,2.7618,1.22686,0.0019208,0.0019208,0.0019208
6,564.608,1.33043,2.05597,1.28623,0.84243,0.76379,0.84532,0.5657,1.12144,1.94752,1.13571,0.001901,0.001901,0.001901
7,681.478,1.30586,1.83816,1.32112,0.7986,0.79048,0.85732,0.54428,1.24592,1.90063,1.17792,0.0018812,0.0018812,0.0018812
8,795.856,1.33604,1.82117,1.27337,0.90198,0.69524,0.84987,0.54253,1.20617,1.91393,1.11402,0.0018614,0.0018614,0.0018614
9,918.758,1.39289,1.85496,1.2806,0.82181,0.74671,0.8067,0.53308,1.23259,1.92944,1.1629,0.0018416,0.0018416,0.0018416
10,1036.09,1.31493,1.61485,1.25402,0.86055,0.77143,0.86543,0.5413,1.17704,1.70404,1.10848,0.0018218,0.0018218,0.0018218
11,1153.03,1.27067,1.54052,1.23017,0.79196,0.76136,0.84376,0.56846,1.13229,1.48074,1.068,0.001802,0.001802,0.001802
12,1265.82,1.31078,1.60873,1.31057,0.93936,0.73765,0.89772,0.62059,1.0658,1.44128,1.08021,0.0017822,0.0017822,0.0017822
13,1381.04,1.22153,1.34507,1.19136,0.97177,0.78095,0.91816,0.65549,1.05984,1.3228,1.06449,0.0017624,0.0017624,0.0017624
14,1496.97,1.23823,1.4093,1.22334,0.83273,0.8381,0.89409,0.64966,0.99827,1.28856,1.03636,0.0017426,0.0017426,0.0017426
15,1614.09,1.24403,1.36653,1.23028,0.96912,0.81905,0.90766,0.65458,1.09989,1.26373,1.08738,0.0017228,0.0017228,0.0017228
16,1730.42,1.23692,1.34496,1.26434,0.86784,0.75048,0.85068,0.59605,1.07832,1.28555,1.08234,0.001703,0.001703,0.001703
17,1825.62,1.18228,1.35042,1.19446,0.84929,0.80952,0.8613,0.59432,1.0925,1.28901,1.09392,0.0016832,0.0016832,0.0016832
18,1917.76,1.19275,1.32089,1.22368,0.86144,0.64762,0.75379,0.5017,1.16493,1.68479,1.13568,0.0016634,0.0016634,0.0016634
19,2009.54,1.17279,1.25394,1.19274,0.91733,0.84546,0.90999,0.61587,1.15725,1.17913,1.1219,0.0016436,0.0016436,0.0016436
20,2104.05,1.18177,1.23948,1.19787,0.87706,0.81534,0.89567,0.6286,1.06737,1.11327,1.06013,0.0016238,0.0016238,0.0016238
21,2200.55,1.13754,1.18735,1.18547,0.94405,0.7619,0.89572,0.60527,1.13972,1.10986,1.11141,0.001604,0.001604,0.001604
22,2299.61,1.21013,1.20221,1.20839,0.8732,0.7619,0.89218,0.62556,1.06716,1.18043,1.08399,0.0015842,0.0015842,0.0015842
23,2403.06,1.15197,1.11092,1.16754,0.93521,0.75238,0.89337,0.61632,1.06949,1.09604,1.06322,0.0015644,0.0015644,0.0015644
24,2502.04,1.13725,1.09263,1.14973,0.8086,0.84497,0.87802,0.61404,1.0897,1.09268,1.0692,0.0015446,0.0015446,0.0015446
25,2602.08,1.15922,1.12041,1.15365,0.8459,0.82857,0.88113,0.62202,1.09391,1.06479,1.075,0.0015248,0.0015248,0.0015248
26,2701.71,1.17816,1.09693,1.20485,0.90865,0.81905,0.9152,0.61953,1.11444,0.94625,1.08582,0.001505,0.001505,0.001505
27,2800.18,1.09026,1.01546,1.16778,0.93482,0.81905,0.92146,0.67464,1.02388,0.93925,1.05003,0.0014852,0.0014852,0.0014852
28,2903.04,1.10544,1.00608,1.147,0.92515,0.73333,0.89161,0.60485,1.04174,0.99289,1.05042,0.0014654,0.0014654,0.0014654
29,3003.39,1.11313,1.02758,1.12732,0.95083,0.8,0.91023,0.62946,1.06088,0.92801,1.06235,0.0014456,0.0014456,0.0014456
30,3101.9,1.11434,0.98648,1.14331,0.91594,0.83023,0.90367,0.63652,1.00789,0.94055,1.05499,0.0014258,0.0014258,0.0014258
31,3199.6,1.121,0.97507,1.12451,0.90406,0.80775,0.90397,0.63102,1.04896,0.94616,1.058,0.001406,0.001406,0.001406
32,3297.17,1.08551,1.0016,1.10669,0.86969,0.85714,0.9177,0.61533,1.08873,0.93972,1.07605,0.0013862,0.0013862,0.0013862
33,3400.47,1.10152,1.00773,1.13172,0.91127,0.84762,0.91783,0.64373,1.02126,0.86667,1.04348,0.0013664,0.0013664,0.0013664
34,3504.97,1.0922,0.98539,1.12936,0.87953,0.65714,0.8016,0.55563,1.09501,1.18276,1.08247,0.0013466,0.0013466,0.0013466
35,3608.24,1.06242,0.9536,1.16315,0.98099,0.68571,0.82108,0.55333,1.09853,1.16483,1.07573,0.0013268,0.0013268,0.0013268
36,3711.44,1.02375,0.8882,1.07825,0.95725,0.85306,0.93891,0.64378,1.03401,0.91465,1.05059,0.001307,0.001307,0.001307
37,3813.44,1.04067,0.89566,1.12804,0.9287,0.85714,0.91915,0.63859,1.05162,0.89846,1.06182,0.0012872,0.0012872,0.0012872
38,3915.62,1.04726,0.86697,1.11402,0.90915,0.85777,0.91645,0.63541,1.04381,0.83703,1.05181,0.0012674,0.0012674,0.0012674
39,4017.17,1.01274,0.95505,1.09841,0.8928,0.86667,0.92333,0.6593,1.05089,0.86312,1.05812,0.0012476,0.0012476,0.0012476
40,4119.64,0.98854,0.86327,1.10943,0.91482,0.79048,0.90429,0.65488,0.98273,0.84605,1.04,0.0012278,0.0012278,0.0012278
41,4220.06,0.98731,0.80329,1.09498,0.91804,0.81905,0.92901,0.66972,1.01101,0.80836,1.05407,0.001208,0.001208,0.001208
42,4319.73,1.00235,0.81192,1.07271,0.93435,0.82857,0.92066,0.62311,1.08447,0.81803,1.06748,0.0011882,0.0011882,0.0011882
43,4423.87,1.01032,0.81112,1.07999,0.9543,0.79544,0.91209,0.63663,1.02762,0.81404,1.04702,0.0011684,0.0011684,0.0011684
44,4540.93,0.98174,0.81225,1.04508,0.91546,0.82512,0.89033,0.61995,1.04478,0.88636,1.04667,0.0011486,0.0011486,0.0011486
45,4645.63,0.99634,0.79816,1.06279,0.93397,0.82857,0.91291,0.65024,1.04539,0.82799,1.05031,0.0011288,0.0011288,0.0011288
46,4748.83,0.96822,0.75598,1.06747,0.90938,0.75238,0.86465,0.59585,1.05699,0.90451,1.04025,0.001109,0.001109,0.001109
47,4848.63,0.9777,0.78116,1.06838,0.93556,0.80952,0.89591,0.61872,1.09671,0.87079,1.06383,0.0010892,0.0010892,0.0010892
48,4951.64,1.00685,0.73979,1.06611,0.89691,0.8381,0.89492,0.63081,1.04954,0.85234,1.04899,0.0010694,0.0010694,0.0010694
49,5051.96,0.97896,0.78793,1.06839,0.89931,0.89524,0.94205,0.65557,1.07444,0.73148,1.0816,0.0010496,0.0010496,0.0010496
50,5151.91,0.98193,0.79628,1.07408,0.92447,0.81905,0.93188,0.66506,1.04017,0.74872,1.06515,0.0010298,0.0010298,0.0010298
51,5252.91,0.95283,0.81093,1.09881,0.93739,0.85556,0.94718,0.69128,0.9997,0.68651,1.05482,0.00101,0.00101,0.00101
52,5352.36,0.92478,0.78145,1.02613,0.91834,0.85688,0.92373,0.65901,1.00794,0.74907,1.04244,0.0009902,0.0009902,0.0009902
53,5452.17,1.03852,0.87529,1.1186,0.86411,0.8,0.86031,0.59083,1.04155,0.85582,1.03346,0.0009704,0.0009704,0.0009704
54,5547.25,0.93952,0.72066,1.0503,0.93399,0.75238,0.86859,0.61977,1.01917,0.87595,1.02417,0.0009506,0.0009506,0.0009506
55,5647.8,0.92984,0.72535,1.04891,0.95311,0.84762,0.92361,0.66656,0.99995,0.75189,1.03202,0.0009308,0.0009308,0.0009308
